budget_id,budget_flops,schedule_regime,model_name,n_layer,n_head,n_embd,num_params,target_train_tokens,actual_train_tokens,actual_compute_proxy,fixed_schedule_horizon_steps,runs,mean_train_steps,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_final_test_loss,mean_runtime_sec,mean_tokens_per_second,actual_d_over_n,token_parameter_ratio
2,3200000000000.0,fixed,gpt_2l_32d,2,4,32,37760,14124293.785310734,14125056,3200172687360.0,2304,3,6897.0,2.4649546186129254,0.0023970965602422407,2.4642574350039164,2.460570168495178,29.275030692418415,482638.09879522404,374.07457627118646,374.07457627118646
2,3200000000000.0,fixed,gpt_2l_36d,2,4,36,45936,11610356.437942645,11612160,3200497090560.0,2304,3,5670.0,2.4563655773798625,0.0007243638406690333,2.455230955282847,2.4520763874053952,27.92512583732605,416653.7050385219,252.78996865203763,252.78996865203763
2,3200000000000.0,fixed,gpt_2l_40d,2,4,40,54880,9718172.983479107,9719808,3200538378240.0,2304,3,4746.0,2.4524999340375264,0.0018425396901014942,2.451937023798625,2.447590363025665,20.694885571797688,470971.91767411144,177.11020408163265,177.11020408163265
2,3200000000000.0,fixed,gpt_2l_44d,2,4,44,64592,8256956.485839319,8257536,3200224591872.0,2649,3,4032.0,2.4315772970517475,0.0007141767969351735,2.4313682357470197,2.4280720551808677,13.265094677607218,623897.7780323181,127.84146643547189,127.84146643547189
2,3200000000000.0,fixed,gpt_2l_48d,2,4,48,75072,7104290.991759023,7104512,3200099549184.0,2304,3,3469.0,2.436647037665049,0.005036168368816233,2.436557428042094,2.4322709560394284,17.110340118408203,417361.1966343334,94.63597612958226,94.63597612958226
2,3200000000000.0,fixed,gpt_2l_52d,2,4,52,86320,6178560.395427865,6178816,3200132382720.0,2649,3,3017.0,2.4169675866762796,0.0040974162149054446,2.416913656393687,2.4144087076187133,9.060287634531656,683667.6243982133,71.58035217794254,71.58035217794254
2,3200000000000.0,fixed,gpt_2l_56d,2,4,56,98336,5423581.733376722,5425152,3200926482432.0,2304,3,2649.0,2.422541697820028,0.003814157514204707,2.4224162181218465,2.420039625962575,12.69035816192627,431757.1920459021,55.169541164985354,55.169541164985354
2,3200000000000.0,fixed,gpt_2l_60d,2,4,60,111120,4799616.030717542,4800512,3200597360640.0,2649,3,2344.0,2.3971354722976685,0.018729573686087214,2.3971354722976685,2.3938507636388144,8.321751515070597,586620.1175879819,43.201151907847375,43.201151907847375
2,3200000000000.0,fixed,gpt_2l_64d,2,4,64,124672,4277891.854893908,4278272,3200284360704.0,2304,3,2089.0,2.4049181938171387,0.0019859515504816547,2.4049181938171387,2.4019283453623452,9.668514887491861,442712.6865727145,34.31622176591376,34.31622176591376
2,3200000000000.0,fixed,gpt_3l_48d,3,4,48,103344,5160757.599215565,5160960,3200125501440.0,2304,3,2520.0,2.427376703421275,0.0025782857354695737,2.4273668328921,2.424403707186381,15.707207918167114,329375.7778572014,49.93961913608918,49.93961913608918
